Date,E0,P,Qo
1958-01-17,1.3519,0.0,1.117224258594151
1958-01-18,1.2216,0.0,0.8787177013853258
1958-01-19,0.679,0.0,0.724314828116983
1958-01-20,0.431,30.4828,0.6628019291944587
1958-01-21,1.2433,0.1504,1.9457288866085172
1958-01-22,0.8496,0.0,3.050403201641868
1958-01-23,0.5302,18.4103,3.3642315854284246
1958-01-24,1.1658,5.9465,4.3559253771164705
1958-01-25,1.0511,7.2106,4.180181836839406
1958-01-26,2.7378,0.0,4.632095064135454
1958-01-27,1.696,0.0,3.60273814263725
1958-01-28,1.3115,0.0,2.472959507439713
1958-01-29,0.8,0.0,1.8076484761416107
1958-01-30,1.8728,0.6928,1.2678634787070293
1958-01-31,1.7611,0.571,1.0431614161108262
1958-02-01,3.2277,0.0,0.9239081375064135
1958-02-02,2.9239,0.0,0.810932047203694
1958-02-03,2.5394,0.0,0.724314828116983
1958-02-04,2.3533,0.0,0.6628019291944587
1958-02-05,0.7627,14.8555,0.6025480143663418
1958-02-06,1.1255,30.018199999999997,2.7742335146228836
1958-02-07,2.0774,0.0,4.732521210877373
1958-02-08,2.5084,0.0,4.0044382965623395
1958-02-09,1.3457,0.0,3.2889141918932783
1958-02-10,0.5953,16.8305,2.472959507439713
1958-02-11,1.296,0.0,1.9959419599794765
1958-02-12,0.462,0.0,1.870411493073371
1958-02-13,1.8231,0.0,1.6821135761929193
1958-02-14,0.4279,13.5822,1.5314787891226271
1958-02-15,0.9426,0.2471,2.4855138840430993
1958-02-16,2.2262,0.0,3.2010424217547455
1958-02-17,1.0046,0.0,3.5148663724987173
1958-02-18,2.0278,0.0,2.8997684145715747
1958-02-19,1.1999,0.0,1.9959419599794765
1958-02-20,2.7378,0.0,1.393393945613135
1958-02-21,1.6991,0.0,1.092119938429964
1958-02-22,0.555,0.0,0.9716076757311441
1958-02-23,0.3814,1.3111000000000002,0.8787177013853258
1958-02-24,0.8992,0.011300000000000001,0.8335272652642383
1958-02-25,0.3721,0.0,0.810932047203694
1958-02-26,0.9953,15.1938,0.7883323961005644
1958-02-27,4.4307,0.0,1.3808395690097488
1958-02-28,4.2943,0.0,1.9331789430477166
1958-03-01,2.9208,0.0,1.8076484761416107
1958-03-02,4.1424,0.0,1.393393945613135
1958-03-03,3.7827,0.0,0.9013129194458698
1958-03-04,2.6262,0.0,0.724314828116983
1958-03-05,0.8093,6.7361,0.6628019291944587
1958-03-06,0.3659,23.7319,0.8561224833247819
1958-03-07,1.51,26.8919,3.351677208825039
1958-03-08,0.5302,21.6277,6.766121867624423
1958-03-09,3.7827,0.0,8.285046280143662
1958-03-10,3.4789,0.0,10.280992673165725
1958-03-11,3.4199,0.0,8.536111646998462
1958-03-12,0.8341,15.1233,4.920814694715238
1958-03-13,1.2247,0.0033,3.439548978963571
1958-03-14,3.1099,0.0,3.765931739353515
1958-03-15,3.5161,0.0,3.841249132888661
1958-03-16,2.6975,0.0,2.975085808106721
1958-03-17,0.8341,39.227199999999996,2.0210507131862494
1958-03-18,0.955,0.0,5.76187369933299
1958-03-19,4.037,0.0,5.76187369933299
1958-03-20,4.2354,0.0,5.950171616213442
1958-03-21,3.637,0.0,4.180181836839406
1958-03-22,3.4261,0.0,2.472959507439713
1958-03-23,0.6945,34.1899,1.9331789430477166
1958-03-24,0.9829,1.3658,3.0629575782452543
1958-03-25,0.71,0.0,4.632095064135454
1958-03-26,0.9643,0.0,5.196984381734223
1958-03-27,0.7441,0.0,4.632095064135454
1958-03-28,3.2184,0.0,3.050403201641868
1958-03-29,2.3409,9.9589,2.3348746639302207
1958-03-30,2.9921,0.31229999999999997,1.9959419599794765
1958-03-31,4.068,0.0,1.8076484761416107
1958-04-01,1.296,0.0,1.6821135761929193
1958-04-02,1.6371,0.0,1.4185026988199076
1958-04-03,2.558,0.0,1.117224258594151
1958-04-04,3.33,0.0378,0.9716076757311441
1958-04-05,2.0805,0.0,0.8787177013853258
1958-04-06,4.6695,0.0,0.7883323961005644
1958-04-07,5.9438,0.0,0.7029741611082607
1958-04-08,2.8649,0.0,0.6427202462801437
1958-04-09,0.555,23.6342,0.8021413237557721
1958-04-10,2.189,0.0151,1.7448810261672651
1958-04-11,4.5827,0.0,1.9959419599794765
1958-04-12,1.9379,0.0,1.870411493073371
1958-04-13,2.8618,0.0,1.2678634787070293
1958-04-14,0.6201,10.0224,0.9013129194458698
1958-04-15,4.2695,11.385,1.0293524884556182
1958-04-16,3.9998,0.0,1.3431808722421754
1958-04-17,2.1456,0.0,1.393393945613135
1958-04-18,1.9596,0.0,1.1674373319651103
1958-04-19,3.9284,0.0,0.810932047203694
1958-04-20,2.9332,21.399,0.6628019291944587
1958-04-21,3.2339,0.6697,0.8272500769625449
1958-04-22,5.2896,0.063,1.2427591585428426
1958-04-23,3.6432,0.0,1.3180765520779885
1958-04-24,3.8323,0.0,0.9013129194458698
1958-04-25,2.3223,3.2516,0.6828880451513597
1958-04-26,3.0107,2.603,0.5636347665469471
1958-04-27,3.4603,26.1634,0.5259760697793742
1958-04-28,3.3455,3.5218000000000003,1.6067961826577732
1958-04-29,2.9766,28.0858,1.9959419599794765
1958-04-30,2.9456,9.7949,3.9040165828630062
1958-05-01,2.7285,0.7557,4.632095064135454
1958-05-02,3.2711,0.0,5.0086864648537714
1958-05-03,2.1952,8.3127,4.456351523858389
1958-05-04,1.7487,36.2625,2.472959507439713
1958-05-05,4.3594,0.0028,4.569327614161108
1958-05-06,5.0105,0.0,5.10911261159569
1958-05-07,6.1671,0.0,5.196984381734223
1958-05-08,3.423,0.0,3.9918883530015394
1958-05-09,2.6696,0.0,2.146581180092355
1958-05-10,1.3146,5.022799999999999,1.2929677988712158
1958-05-11,2.8308,6.6403,1.092119938429964
1958-05-12,5.6555,0.0,0.9916937916880452
1958-05-13,4.8431,0.7389,0.8485907439712672
1958-05-14,4.8865,0.0,0.7142695536172396
1958-05-15,2.6851,0.0,0.6314204207285786
1958-05-16,2.5735,0.0,0.5573575782452541
1958-05-17,1.0077,1.4274,0.5046354027706517
1958-05-18,0.893,11.1907,0.5222079835813238
1958-05-19,2.6231,5.514,0.6929333196511029
1958-05-20,2.0216,0.0131,0.7582054386865059
1958-05-21,2.5611,0.0,0.735610220625962
1958-05-22,1.1286,0.0,0.6515065366854796
1958-05-23,2.7192,2.3468999999999998,0.7582054386865059
1958-05-24,2.9145,0.0,0.6715926526423807
1958-05-25,5.3423,7.8173,0.5222079835813238
1958-05-26,6.657,0.0,0.4870583889173935
1958-05-27,6.4802,0.0,0.5222079835813238
1958-05-28,5.1594,0.0,0.4205272857875834
1958-05-29,5.2834,0.0,0.36655055926115954
1958-05-30,5.5407,0.0,0.338932703950744
1958-05-31,5.5283,0.0,0.3175920369420216
1958-06-01,6.0058,0.0,0.29751035402770654
1958-06-02,5.9407,0.0,0.28871963057978445
1958-06-03,6.0089,10.785499999999999,0.2774242380708055
1958-06-04,4.0463,1.0958,0.29499681888147766
1958-06-05,4.5362,0.0,0.2774242380708055
1958-06-06,5.0974,2.1285,0.28871963057978445
1958-06-07,5.5345,0.9824,0.26863794766546945
1958-06-08,4.9733,3.5938,0.27491513596716266
1958-06-09,6.2756,0.0,0.2774242380708055
1958-06-10,5.3144,0.0,0.2661244125192406
1958-06-11,5.5252,4.8701,0.238510990251411
1958-06-12,5.9128,0.0,0.2272111646998461
1958-06-13,4.7718,0.0,0.2134022370446383
1958-06-14,3.4168,0.0,0.2272111646998461
1958-06-15,1.9255,41.8408,0.29751035402770654
1958-06-16,2.9642,10.666400000000001,0.6063161005643919
1958-06-17,2.6758,10.102599999999999,0.8259955259107234
1958-06-18,4.2974,7.2938,0.8485907439712672
1958-06-19,4.1548,22.778799999999997,1.2929677988712158
1958-06-20,4.3656,0.0,1.5691374858902
1958-06-21,2.0712,11.7803,2.108922483324782
1958-06-22,0.9612,2.8656,2.8370009645972294
1958-06-23,5.2803,0.0,2.975085808106721
1958-06-24,7.3019,0.0,3.2010424217547455
1958-06-25,4.6633,0.0,2.6612574243201643
1958-06-26,1.9999,0.5605,1.0820790969728067
1958-06-27,2.4681,0.0,0.5586121292970755
1958-06-28,7.7143,0.0,0.40797734222678295
1958-06-29,7.5561,0.0,0.33265551564905077
1958-06-30,6.1082,0.0,0.2912331657260134
1958-07-01,5.1625,0.0,0.25984722421754747
1958-07-02,5.4136,0.0,0.23599745510518216
